iteration,max_update,max_residual
159,6.50155426e-05,1.88401961e+01
160,6.43088984e-05,1.88479231e+01
161,6.36130470e-05,1.88555248e+01
162,6.29277538e-05,1.88630040e+01
163,6.22527908e-05,1.88703629e+01
164,6.15879364e-05,1.88776040e+01
165,6.09329752e-05,1.88847297e+01
166,6.02876975e-05,1.88917423e+01
167,5.96518995e-05,1.88986439e+01
168,5.90253829e-05,1.89054368e+01
169,5.84079550e-05,1.89121230e+01
170,5.77994279e-05,1.89187047e+01
171,5.71996190e-05,1.89251837e+01
172,5.66083506e-05,1.89315621e+01
173,5.60254497e-05,1.89378418e+01
174,5.54507477e-05,1.89440246e+01
175,5.48840806e-05,1.89501123e+01
176,5.43252888e-05,1.89561066e+01
177,5.37742166e-05,1.89620094e+01
178,5.32307125e-05,1.89678222e+01
179,5.26955207e-05,1.89735468e+01
180,5.21690546e-05,1.89791847e+01
181,5.16496388e-05,1.89847374e+01
182,5.11371396e-05,1.89902065e+01
183,5.06314264e-05,1.89955935e+01
184,5.01323720e-05,1.90008998e+01
185,4.96398524e-05,1.90061268e+01
186,4.91537466e-05,1.90112759e+01
187,4.86739367e-05,1.90163485e+01
188,4.82006948e-05,1.90213460e+01
189,4.77343970e-05,1.90262695e+01
190,4.72740490e-05,1.90311203e+01
191,4.68195436e-05,1.90358997e+01
192,4.63707761e-05,1.90406089e+01
193,4.59276442e-05,1.90452491e+01
194,4.54900484e-05,1.90498213e+01
195,4.50578911e-05,1.90543269e+01
196,4.46310774e-05,1.90587667e+01
197,4.42095145e-05,1.90631421e+01
198,4.37931117e-05,1.90674539e+01
199,4.33817805e-05,1.90717032e+01
200,4.29754344e-05,1.90758911e+01
201,4.25739889e-05,1.90800185e+01
202,4.21773614e-05,1.90840864e+01
203,4.17854714e-05,1.90880958e+01
204,4.13982399e-05,1.90920475e+01
205,4.10155900e-05,1.90959426e+01
206,4.06374463e-05,1.90997819e+01
207,4.02637352e-05,1.91035662e+01
208,3.98943846e-05,1.91072965e+01
209,3.95293242e-05,1.91109736e+01
210,3.91684851e-05,1.91145982e+01
211,3.88118000e-05,1.91181714e+01
212,3.84592030e-05,1.91216937e+01
213,3.81106296e-05,1.91251660e+01
214,3.77660168e-05,1.91285891e+01
215,3.74253028e-05,1.91319636e+01
216,3.70893009e-05,1.91352905e+01
217,3.67574904e-05,1.91385703e+01
218,3.64293831e-05,1.91418038e+01
219,3.61049226e-05,1.91449916e+01
220,3.57840535e-05,1.91481345e+01
221,3.54667214e-05,1.91512332e+01
222,3.51528733e-05,1.91542882e+01
223,3.48424572e-05,1.91573003e+01
224,3.45354221e-05,1.91602700e+01
225,3.42317182e-05,1.91631980e+01
226,3.39312965e-05,1.91660850e+01
227,3.36341092e-05,1.91689314e+01
228,3.33401093e-05,1.91717379e+01
229,3.30492573e-05,1.91745051e+01
230,3.27621568e-05,1.91772336e+01
231,3.24780860e-05,1.91799239e+01
232,3.21970022e-05,1.91825765e+01
233,3.19188637e-05,1.91851921e+01
234,3.16436295e-05,1.91877711e+01
235,3.13712591e-05,1.91903140e+01
236,3.11017133e-05,1.91928214e+01
237,3.08353697e-05,1.91952938e+01
238,3.05725520e-05,1.91977317e+01
239,3.03124254e-05,1.92001356e+01
240,3.00549535e-05,1.92025059e+01
241,2.98001006e-05,1.92048431e+01
242,2.95478317e-05,1.92071478e+01
243,2.92981123e-05,1.92094203e+01
244,2.90509086e-05,1.92116611e+01
245,2.88061876e-05,1.92138706e+01
246,2.85639165e-05,1.92160494e+01
247,2.83240635e-05,1.92181977e+01
248,2.80865972e-05,1.92203161e+01
249,2.78514866e-05,1.92224049e+01
250,2.76187016e-05,1.92244647e+01
251,2.73882123e-05,1.92264956e+01
252,2.71599894e-05,1.92284983e+01
253,2.69340044e-05,1.92304730e+01
254,2.67102288e-05,1.92324202e+01
255,2.64886350e-05,1.92343402e+01
256,2.62696022e-05,1.92362333e+01
257,2.60533606e-05,1.92381001e+01
258,2.58392021e-05,1.92399408e+01
259,2.56271010e-05,1.92417558e+01
260,2.54170320e-05,1.92435454e+01
261,2.52089702e-05,1.92453100e+01
262,2.50028914e-05,1.92470499e+01
263,2.47987714e-05,1.92487655e+01
264,2.45965867e-05,1.92504570e+01
265,2.43963139e-05,1.92521249e+01
266,2.41979304e-05,1.92537695e+01
267,2.40014135e-05,1.92553910e+01
268,2.38067411e-05,1.92569897e+01
269,2.36138915e-05,1.92585661e+01
270,2.34228433e-05,1.92601203e+01
271,2.32335754e-05,1.92616527e+01
272,2.30460671e-05,1.92631636e+01
273,2.28602978e-05,1.92646533e+01
274,2.26771385e-05,1.92661220e+01
275,2.24957287e-05,1.92675700e+01
276,2.23159819e-05,1.92689977e+01
277,2.21378794e-05,1.92704052e+01
278,2.19614024e-05,1.92717929e+01
279,2.17865325e-05,1.92731610e+01
280,2.16132516e-05,1.92745098e+01
281,2.14415419e-05,1.92758396e+01
282,2.12713857e-05,1.92771505e+01
283,2.11027659e-05,1.92784429e+01
284,2.09356652e-05,1.92797170e+01
285,2.07700670e-05,1.92809731e+01
286,2.06059546e-05,1.92822113e+01
287,2.04433118e-05,1.92834320e+01
288,2.02821225e-05,1.92846353e+01
289,2.01223708e-05,1.92858215e+01
290,1.99644680e-05,1.92869908e+01
291,1.98083839e-05,1.92881435e+01
292,1.96536762e-05,1.92892798e+01
293,1.95003303e-05,1.92903998e+01
294,1.93483315e-05,1.92915039e+01
295,1.91976654e-05,1.92925921e+01
296,1.90483181e-05,1.92936648e+01
297,1.89002754e-05,1.92947221e+01
298,1.87535238e-05,1.92957643e+01
299,1.86080495e-05,1.92967915e+01
300,1.84638393e-05,1.92978039e+01
301,1.83208799e-05,1.92988018e+01
302,1.81791583e-05,1.92997853e+01
303,1.80386617e-05,1.93007547e+01
304,1.78993775e-05,1.93017100e+01
305,1.77612931e-05,1.93026516e+01
306,1.76249898e-05,1.93035795e+01
307,1.74900051e-05,1.93044940e+01
308,1.73561703e-05,1.93053952e+01
309,1.72234740e-05,1.93062834e+01
310,1.70919044e-05,1.93071586e+01
311,1.69614504e-05,1.93080211e+01
312,1.68321007e-05,1.93088710e+01
313,1.67038441e-05,1.93097086e+01
314,1.65766698e-05,1.93105339e+01
315,1.64505671e-05,1.93113471e+01
316,1.63255252e-05,1.93121485e+01
317,1.62015337e-05,1.93129380e+01
318,1.60785821e-05,1.93137160e+01
319,1.59566602e-05,1.93144826e+01
320,1.58357580e-05,1.93152378e+01
321,1.57162654e-05,1.93159819e+01
322,1.55980243e-05,1.93167151e+01
323,1.54807613e-05,1.93174374e+01
324,1.53644670e-05,1.93181489e+01
325,1.52491321e-05,1.93188500e+01
326,1.51347472e-05,1.93195406e+01
327,1.50213033e-05,1.93202210e+01
328,1.49087914e-05,1.93208912e+01
329,1.47972026e-05,1.93215514e+01
330,1.46865280e-05,1.93222017e+01
331,1.45767591e-05,1.93228423e+01
332,1.44678872e-05,1.93234733e+01
333,1.43599038e-05,1.93240949e+01
334,1.42528005e-05,1.93247070e+01
335,1.41465692e-05,1.93253100e+01
336,1.40416633e-05,1.93259038e+01
337,1.39377229e-05,1.93264887e+01
338,1.38346196e-05,1.93270647e+01
339,1.37323458e-05,1.93276320e+01
340,1.36308936e-05,1.93281906e+01
341,1.35302556e-05,1.93287408e+01
342,1.34304242e-05,1.93292825e+01
343,1.33313920e-05,1.93298160e+01
344,1.32331518e-05,1.93303413e+01
345,1.31356962e-05,1.93308585e+01
346,1.30390181e-05,1.93313678e+01
347,1.29431105e-05,1.93318693e+01
348,1.28479663e-05,1.93323630e+01
349,1.27535786e-05,1.93328491e+01
350,1.26600674e-05,1.93333276e+01
351,1.25676797e-05,1.93337987e+01
352,1.24760190e-05,1.93342625e+01
353,1.23850787e-05,1.93347191e+01
354,1.22948524e-05,1.93351685e+01
355,1.22053338e-05,1.93356109e+01
356,1.21165165e-05,1.93360464e+01
357,1.20283944e-05,1.93364750e+01
358,1.19409612e-05,1.93368969e+01
359,1.18542111e-05,1.93373121e+01
360,1.17681378e-05,1.93377207e+01
361,1.16827355e-05,1.93381229e+01
362,1.15979983e-05,1.93385187e+01
363,1.15139204e-05,1.93389081e+01
364,1.14304960e-05,1.93392914e+01
365,1.13481064e-05,1.93396685e+01
366,1.12664119e-05,1.93400395e+01
367,1.11853458e-05,1.93404046e+01
368,1.11049028e-05,1.93407638e+01
369,1.10250775e-05,1.93411172e+01
370,1.09458646e-05,1.93414649e+01
371,1.08672589e-05,1.93418069e+01
372,1.07892551e-05,1.93421433e+01
373,1.07118481e-05,1.93424743e+01
374,1.06350329e-05,1.93427998e+01
375,1.05588043e-05,1.93431200e+01
376,1.04831575e-05,1.93434349e+01
377,1.04080875e-05,1.93437447e+01
378,1.03335894e-05,1.93440493e+01
379,1.02598781e-05,1.93443488e+01
380,1.01868963e-05,1.93446433e+01
381,1.01144650e-05,1.93449330e+01
382,1.00425794e-05,1.93452178e+01
383,9.97123517e-06,1.93454978e+01
384,9.90042767e-06,1.93457731e+01
385,9.83015250e-06,1.93460437e+01
386,9.76040522e-06,1.93463098e+01
387,9.69118148e-06,1.93465713e+01
388,9.62247695e-06,1.93468284e+01
389,9.55428734e-06,1.93470810e+01
390,9.48660841e-06,1.93473294e+01
391,9.41943596e-06,1.93475734e+01
392,9.35276582e-06,1.93478133e+01
393,9.28675307e-06,1.93480490e+01
394,9.22143135e-06,1.93482806e+01
395,9.15659301e-06,1.93485081e+01
396,9.09223413e-06,1.93487317e+01
397,9.02835086e-06,1.93489513e+01
398,8.96493934e-06,1.93491671e+01
399,8.90199580e-06,1.93493790e+01
400,8.83951645e-06,1.93495872e+01
401,8.77749759e-06,1.93497917e+01
402,8.71593551e-06,1.93499925e+01
403,8.65482655e-06,1.93501897e+01
404,8.59416709e-06,1.93503834e+01
405,8.53395354e-06,1.93505735e+01
406,8.47418234e-06,1.93507602e+01
407,8.41491234e-06,1.93509435e+01
408,8.35631088e-06,1.93511234e+01
409,8.29813582e-06,1.93513000e+01
410,8.24038381e-06,1.93514733e+01
411,8.18305154e-06,1.93516434e+01
